continent	country	(Intercept)	I(year - 1950)	sd
Asia	Israel	65.7661976689977	0.267106293706294	0.36574010923855
Asia	Pakistan	42.9113769230769	0.405792307692307	0.402933746224055
Asia	Cambodia	36.2236174825175	0.395902797202797	5.63014318176748
Africa	Equatorial Guinea	33.8099664335664	0.310170629370629	0.328689810624535
Africa	Mauritania	39.1327675990676	0.446417482517482	0.407532308413623
Africa	Zimbabwe	55.4072855477856	-0.0930209790209793	7.20543069561591
Europe	Sweden	71.2724909090909	0.166254545454545	0.211767883220383
Europe	Switzerland	69.009255011655	0.222231468531468	0.214911464667868
Europe	Bulgaria	65.4459300699301	0.14568881118881	2.50911657864767
Europe	Montenegro	61.6556254079254	0.293001398601398	2.75383174249396
Americas	Canada	68.4461076923077	0.21886923076923	0.249248292949942
Americas	Argentina	62.2250191142191	0.231708391608391	0.292307186863136
Americas	Jamaica	62.2181983682984	0.221394405594405	2.05594361680418
Oceania	Australia	67.9450652680653	0.227723776223776	0.620608584027624
Oceania	New Zealand	68.3012811188811	0.192820979020979	0.804347153073439
